course_id,course_name,section_id,session,days/times,dates,instructor,status
CLASSGA1013110306,CLASS-GA 1013 - Greek Literature Survey,Section: 001-SEM (21515),Session: Regular Academic Session,Days/Times: MoWe 2:00pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Adam Howard Becker,Status: Open
CLASSGA2878110353,CLASS-GA 2878 - Roman Satire,Section: 001-LEC (21516),Topic: Terence & the Tradition of Roman Comedy.,Session: Regular Academic Session,Days/Times: Mo 6:30pm - 8:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Emilia Barbiero
CLASSGA2916110359,CLASS-GA 2916 - Xenophon,Section: 001-SEM (21518),Session: Regular Academic Session,Days/Times: We 6:30pm - 8:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CLASSGA2973110374,CLASS-GA 2973 - Greco-Roman Comedy Menander,Section: 001-SEM (24045),Session: Regular Academic Session,Days/Times: Tu 6:30pm - 8:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Jay D Konstan,Status: Open
CLASSGA3000110380,CLASS-GA 3000 - Sem in Classical Studies,Section: 001-SEM (2467),Topic: Trajanic Moment,Session: Regular Academic Session,Days/Times: We 4:15pm - 6:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff
CLASSGA3202110390,CLASS-GA 3202 - Dir Rdg in Greek Lit II:,Section: 001-LEC (2468),Topic: Hellenistic Poetry,Session: Regular Academic Session,Days/Times: Tu 4:15pm - 6:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: David Sider
CLASSGA3202110390,CLASS-GA 3202 - Dir Rdg in Greek Lit II:,Section: 002-LEC (3118),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CLASSGA3302110392,CLASS-GA 3302 - Dir Rdg in Roman Hist II,Section: 001-SEM (2469),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CLASSGA3999110398,CLASS-GA 3999 - Dissertation Research,Section: 001-SEM (2470),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
COLITGA1736152926,COLIT-GA 1736 - Arab Jews & The Writing of Memory,Section: 001-SEM (21906),Topic: Arab Jews and the Writing of Memory,Session: Regular Academic Session,Days/Times: Tu 4:55pm - 7:35pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Ella Shohat
COLITGA1951110462,COLIT-GA 1951 - Culture & Critique:,Section: 001-SEM (19073),Topic: Archives, Documents, and Documentary Arts,Session: Regular Academic Session,Days/Times: Th 12:30pm - 3:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu
COLITGA2000110471,COLIT-GA 2000 - Advanced Writing Seminar,Section: 001-SEM (2988),Session: Regular Academic Session,Days/Times: Tu 2:00pm - 4:45pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Jay Garcia,Status: Open
COLITGA2155110490,COLIT-GA 2155 - Top Early Mod Writ Cult:,Section: 001-SEM (19068),Topic: Luxury and Literature,Session: Regular Academic Session,Days/Times: Th 3:30pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Andrea Lauren Gadberry
COLITGA2511228545,COLIT-GA 2511 - Comparative Approaches to the Literatures of Africa, the Middle East, Global South,Section: 001-SEM (3520),Session: Regular Academic Session,Days/Times: We 3:45pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Mark Sanders,Status: Open
COLITGA2601228266,COLIT-GA 2601 - Topics in 19th Century Cult:,Section: 001-SEM (19078),Topic: Relational Modes from Romanticism to Present,Session: Regular Academic Session,Days/Times: Mo 4:55pm - 7:35pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Zakir Paul
COLITGA2610110514,COLIT-GA 2610 - Special Tpcs in Theory:,Section: 001-SEM (19071),Topic: Recent French Theory,Session: Regular Academic Session,Days/Times: Mo 1:00pm - 3:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Emily S Apter
COLITGA2875110548,COLIT-GA 2875 - Topics in Translation,Section: 001-SEM (19105),Topic: Translation Studies and Arab Cultures,Session: Regular Academic Session,Days/Times: Mo 3:30pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Hala Youssef Halim
COLITGA2917110557,COLIT-GA 2917 - Topic in Lit & Mod Cult,Section: 001-SEM (19074),Topic: Violence and Culture,Session: Regular Academic Session,Days/Times: We 6:20pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Mikhail Iampolski
COLITGA2953110561,COLIT-GA 2953 - Major Texts in Critical Theory & Philosophy,Section: 001-LEC (19069),Session: Regular Academic Session,Days/Times: Tu 4:55pm - 7:35pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Emanuela Bianchi,Status: Open
COLITGA2956110563,COLIT-GA 2956 - Topics:,Section: 001-SEM (21871),Topic: Early Modern Realisms,Session: Regular Academic Session,Days/Times: Tu 2:00pm - 4:40pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Christopher Wood
COLITGA2978110569,COLIT-GA 2978 - Topics:,Section: 001-LEC (21863),Topic: Foucault's Collège de France lectures I,Session: Regular Academic Session,Days/Times: Th 12:30pm - 4:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Dana Polan
COLITGA2978110569,COLIT-GA 2978 - Topics:,Section: 002-LEC (21864),Topic: Making an Entrance and Taking the Stage,Session: Regular Academic Session,Days/Times: Th 12:30pm - 3:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Juliane Vogel
COLITGA2978110569,COLIT-GA 2978 - Topics:,Section: 003-LEC (23969),Topic: The Sovereign and the Subject:Between West Asia an,Session: Regular Academic Session,Days/Times: WeFr 12:30pm - 3:00pm,Dates: 03/23/2020 - 05/11/2020,Instructor: Staff
COLITGA2991110571,COLIT-GA 2991 - Individual Research,Section: 001-IND (2471),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
COLITGA2991110571,COLIT-GA 2991 - Individual Research,Section: 002-IND (3116),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
COLITGA2992205755,COLIT-GA 2992 - Academic Internship,Section: 001-IND (2920),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
COLITGA3323210707,COLIT-GA 3323 - Tpcs in Renaissance Lit,Section: 001-SEM (21283),Topic: Florentine Culture in Context, 1250-1600,Session: Regular Academic Session,Days/Times: We 3:30pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Virginia Cox
COLITGA3630110594,COLIT-GA 3630 - Topics in African Lit,Section: 001-SEM (19072),Topic: Fanon and Glissant,Session: Regular Academic Session,Days/Times: Fr 3:30pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Manthia Diawara
COLITGA3918110601,COLIT-GA 3918 - Tpcs in The History of Rhetoric:,Section: 001-SEM (21285),Topic: The Sublime: History and Geography of a Rhetorical,Session: Regular Academic Session,Days/Times: Tu 3:30pm - 6:10pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Maria Luisa Ardizzone
COLITGA3925110604,COLIT-GA 3925 - Topic Lit Contemp/Cult:,Section: 001-SEM (21286),Topic: Marx: Romanticism, Capital, Media,Session: Regular Academic Session,Days/Times: We 2:00pm - 4:40pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Leif Allison Reid Weatherby
COLITGA3954110605,COLIT-GA 3954 - Topics in Poetics:,Section: 001-SEM (21284),Topic: Leopardi & Italiana Romanticism: Sappho's Last Son,Session: Regular Academic Session,Days/Times: Th 12:30pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Eugenio Refini
COLITGA3991110607,COLIT-GA 3991 - Thesis Research,Section: 001-IND (2472),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
COLITGA3998150831,COLIT-GA 3998 - Directed Research I,Section: 001-IND (2921),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
COLITGA3999150832,COLIT-GA 3999 - Directed Research II,Section: 001-IND (2473),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Cristina Vatulescu,Status: Open
CSCIGA1144109965,CSCI-GA 1144 - PAC II,Section: 001-LEC (2405),Session: Regular Academic Session,Days/Times: Tu 6:00pm - 8:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Mohamed Zahran,Status: Open
CSCIGA1144109965,CSCI-GA 1144 - PAC II,Section: 002-RCT (2792),Session: Regular Academic Session,Days/Times: Th 7:10pm - 8:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Rutviben Jaysukhbhai Malaviya,Status: Open
CSCIGA1170109966,CSCI-GA 1170 - Fundamental Algorithms,Section: 001-LEC (2406),Session: Regular Academic Session,Days/Times: Mo 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Chee Yap,Status: Open
CSCIGA1170109966,CSCI-GA 1170 - Fundamental Algorithms,Section: 002-RCT (2407),Session: Regular Academic Session,Days/Times: We 5:10pm - 6:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Abhinav Vijay Tamaskar,Status: Open
CSCIGA1170109966,CSCI-GA 1170 - Fundamental Algorithms,Section: 003-LEC (3092),Session: Regular Academic Session,Days/Times: Tu 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Harish Karthikeyan, Yevgeniy Dodis,Status: Open
CSCIGA1170109966,CSCI-GA 1170 - Fundamental Algorithms,Section: 004-RCT (3145),Session: Regular Academic Session,Days/Times: Th 8:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Harish Karthikeyan,Status: Open
CSCIGA1180109968,CSCI-GA 1180 - Mathematical Techniques for Cs Applications,Section: 001-LEC (3351),Session: Regular Academic Session,Days/Times: Tu 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Remi Imbach,Status: Open
CSCIGA2110109969,CSCI-GA 2110 - Programming Languages,Section: 001-LEC (2408),Session: Regular Academic Session,Days/Times: Mo 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Cory James Plock,Status: Open
CSCIGA2110109969,CSCI-GA 2110 - Programming Languages,Section: 002-RCT (2409),Session: Regular Academic Session,Days/Times: Th 7:10pm - 8:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Yusen Su,Status: Open
CSCIGA2130109972,CSCI-GA 2130 - Compiler Construction,Section: 001-LEC (2410),Session: Regular Academic Session,Days/Times: Mo 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Alexander Alekseyev,Status: Open
CSCIGA2250109979,CSCI-GA 2250 - Operating Systems,Section: 002-LEC (2985),Session: Regular Academic Session,Days/Times: We 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Shameem Firoz Akhter,Status: Open
CSCIGA2262109981,CSCI-GA 2262 - Data Comm & Networks,Section: 001-LEC (2412),Session: Regular Academic Session,Days/Times: Th 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Fatih Bulut,Status: Open
CSCIGA2421109995,CSCI-GA 2421 - Numerical Methods II,Section: 001-LEC (2413),Session: Regular Academic Session,Days/Times: Tu 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Jonathan Goodman,Status: Open
CSCIGA2433109996,CSCI-GA 2433 - Database Systems,Section: 001-LEC (2414),Session: Regular Academic Session,Days/Times: We 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Zvi Kedem,Status: Open
CSCIGA2440109998,CSCI-GA 2440 - Software Engineering,Section: 001-LEC (2415),Session: Regular Academic Session,Days/Times: Mo 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Jean-Claude Franchitti,Status: Open
CSCIGA2520109999,CSCI-GA 2520 - Bioinformatics & Genomes,Section: 001-LEC (2416),Session: Regular Academic Session,Days/Times: Fr 1:00pm - 3:45pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Brian Parker, Richard A Bonneau,Status: Open
CSCIGA2560110002,CSCI-GA 2560 - Artificial Intelligence,Section: 001-LEC (3147),Session: Regular Academic Session,Days/Times: Mo 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Ernest Davis,Status: Open
CSCIGA2572211142,CSCI-GA 2572 - Deep Learning,Section: 001-LEC (3437),Session: Regular Academic Session,Days/Times: Mo 4:55pm - 6:35pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Alfredo Canziani, Yann Andre Lecun,Status: Open
CSCIGA2572211142,CSCI-GA 2572 - Deep Learning,Section: 002-LAB (3448),Session: Regular Academic Session,Days/Times: Tu 7:10pm - 8:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Alfredo Canziani,Status: Open
CSCIGA2590110011,CSCI-GA 2590 - Natural Lang Processing,Section: 001-LEC (2793),Session: Regular Academic Session,Days/Times: Tu 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Ralph Grishman,Status: Open
CSCIGA2620110013,CSCI-GA 2620 - Networks and Mobile Systems,Section: 001-LEC (2825),Session: Regular Academic Session,Days/Times: Th 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Anirudh Sivaraman,Status: Open
CSCIGA2820227034,CSCI-GA 2820 - DevOps and Agile Methodologies,Section: 001-LEC (3354),Session: Regular Academic Session,Days/Times: Tu 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: John Joseph Rofrano, Manuel Lombardero Botey,Status: Open
CSCIGA2820227034,CSCI-GA 2820 - DevOps and Agile Methodologies,Section: 002-LAB (3355),Session: Regular Academic Session,Days/Times: Tu 7:10pm - 8:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: John Joseph Rofrano,Status: Open
CSCIGA2840227037,CSCI-GA 2840 - Entrepreneurship Capstone,Section: 001-LEC (3356),Session: Regular Academic Session,Days/Times: Tu 10:15am - 12:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Evan M Korth,Status: Open
CSCIGA2840227037,CSCI-GA 2840 - Entrepreneurship Capstone,Section: 002-LAB (3361),Session: Regular Academic Session,Days/Times: Tu 12:25pm - 1:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Pedro Torres,Status: Open
CSCIGA2945110025,CSCI-GA 2945 - Advanced Topics in Numerical Analysis:,Section: 002-LEC (2418),Topic: High Performance Computing,Session: Regular Academic Session,Days/Times: Mo 1:25pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Benjamin Peherstorfer
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 001-LEC (2419),Topic: Big Data Science,Session: Regular Academic Session,Days/Times: We 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Anasse Bari
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 002-LEC (2872),Topic: Social Networks,Session: Regular Academic Session,Days/Times: Th 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Bhubaneswar Mishra
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 005-LEC (2420),Topic: Big Data Application Development,Session: Regular Academic Session,Days/Times: Th 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Suzanne McIntosh
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 010-LEC (3046),Topic: Cloud Computing,Session: Regular Academic Session,Days/Times: Th 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Jean-Claude Franchitti
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 016-LEC (3047),Topic: Multicore Processors: Architecture & Programming,Session: Regular Academic Session,Days/Times: We 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Mohamed Zahran
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 019-LEC (3052),Topic: Cryptocurrencies and Decentralized Ledgers,Session: Regular Academic Session,Days/Times: Th 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Joseph Charles Bonneau
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 023-LEC (3200),Topic: High Performance Machine Learning,Session: Regular Academic Session,Days/Times: We 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Ulrich Finkler, Wei Zhang
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 024-LEC (3349),Topic: Big Data and ML Systems,Session: Regular Academic Session,Days/Times: We 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Lakshminarayanan Subramanian
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 025-LEC (3350),Topic: Cloud and Machine Learning,Session: Regular Academic Session,Days/Times: Th 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: IHsin Chung, Seetharami Seelam
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 026-LEC (19032),Topic: Practical Computer Security,Session: Regular Academic Session,Days/Times: We 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Zhijie Chen
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 027-LEC (23369),Topic: Blockchain and Its Applications,Session: Regular Academic Session,Days/Times: Tu 5:10pm - 7:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Richard Hull
CSCIGA3033150825,CSCI-GA 3033 - Spec Top Computer SCI:,Section: 028-LEC (23764),Topic: Hardness of Approximation:PCP Therem,Session: Regular Academic Session,Days/Times: Mo 7:10pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Subhash Khot
CSCIGA3812156601,CSCI-GA 3812 - Info Tech Projects,Section: 001-LEC (2421),Session: Regular Academic Session,Days/Times: We 6:00pm - 9:00pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Evan M Korth,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 001-LAB (3053),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 002-LAB (2422),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 003-LAB (2423),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 004-LAB (2424),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 005-LAB (2425),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 006-LAB (2426),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 007-LAB (2427),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3813110044,CSCI-GA 3813 - Advanced Lab:,Section: 008-LAB (2428),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3840110046,CSCI-GA 3840 - Master's Thesis Research,Section: 001-LEC (2429),Session: Regular Academic Session,Days/Times: TBA,Dates: 01/27/2020 - 05/11/2020,Instructor: Staff,Status: Open
CSCIGA3850110047,CSCI-GA 3850 - PhD Research Seminar,Section: 001-SEM (24883),Topic: Cryptography,Session: Regular Academic Session,Days/Times: Tu 12:30pm - 3:15pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Yevgeniy Dodis
CSCIGA3850110047,CSCI-GA 3850 - PhD Research Seminar,Section: 004-SEM (2430),Topic: Formal Methods,Session: Regular Academic Session,Days/Times: Th 11:00am - 12:30pm,Dates: 01/27/2020 - 05/11/2020,Instructor: Thomas Wies
